codigo;nombre;promedio;;;
292101554;Mary Foster;4.69;;;
161041033;Paula Thomas;4.39;;;
411401043;David Grossman;3.85;;;
602160403;Kenneth Martinez;4.94;;;
192061563;Richard Jones;3.79;;;
271170099;Kimberly Thompson;4.31;;;
221071348;Evelyn Ramos;4.28;;;
351291756;Sheila Bryant;4.56;;;
572191399;Margaret Hebb;4.15;;;
432171130;Kyle Schultz;4.80;;;
322030708;Bobby Webb;3.04;;;
601930671;Bobby Green;4.80;;;
311440584;Ethel Mittler;3.40;;;
642060778;Andrew Green;4.13;;;
291670816;Tim Talmadge;3.53;;;
271011653;Tracy Haynes;3.57;;;
241510006;Gregory Adler;3.41;;;
291570045;Christina Summers;4.03;;;
301270834;Keith Graham;3.28;;;
302220133;Erica Rodriguez;3.36;;;
231281964;Doreen Culver;3.06;;;
322211409;Carrie Elliott;4.78;;;
341100197;Rebecca Knight;3.31;;;
602111194;Kimberly Glass;3.16;;;
202180082;Joanna Westbrooks;4.77;;;
281950158;Alexandra Zavala;4.29;;;
282000712;William Valenzuela;2.74;;;
412221119;Penny Rivera;3.39;;;
302210954;Jerry Martinez;4.83;;;
521681643;Jack Reed;2.98;;;
431850299;Yolanda Jones;3.45;;;
461971203;Kari Mccormick;3.41;;;
431480533;Daniel Ahmad;3.96;;;
641850886;Michelle Green;3.70;;;
441501228;Ken Huseth;3.85;;;
332060566;Stephen Hudson;3.38;;;
101070450;Francisco Bennett;4.37;;;
372050874;Joseph Williams;3.51;;;
291731818;Wilma Leyva;3.07;;;
522000697;Jennifer Gonzalez;2.91;;;
231270449;Solomon Townsend;4.40;;;
321170318;Allison Medina;4.00;;;
432121960;Amos Do;3.19;;;
271651752;April Farmer;2.83;;;
271241133;Frank Gentes;4.41;;;
462000064;David Alvarez;3.85;;;
301460028;Michelle Messing;4.61;;;
412071843;Patricia Bell;4.17;;;
451031363;Dorothy Russo;3.27;;;
231360207;David Lee;4.45;;;
141250679;Robert Lange;2.93;;;
632210742;Breanna Lee;4.03;;;
241531189;Stella Larry;4.98;;;
112041590;Jonathan Rodriguez;4.85;;;
311090037;Ronald Marion;4.88;;;
321290974;Angelica Stewart;3.36;;;
451830845;Robin Wirth;3.86;;;
391161213;Corey Patterson Jr.;3.02;;;
202150743;Jennifer Luna;3.59;;;
262071031;Leroy Jones;4.26;;;
641201068;Linda Thames;2.98;;;
182171500;Timothy Garcia;2.82;;;
141670805;Anthony Jones;5.00;;;
202071732;David Garza;4.31;;;
291750647;Bruce Wade;3.17;;;
571931817;William Martinez;4.07;;;
402161251;Maria Ealey;2.80;;;
192081695;Jennifer Walker;3.47;;;
311660601;Lawrence Tilley;3.16;;;
292180747;Sharon Brooks DDS;4.48;;;
371170433;Pansy Rogers;3.33;;;
432160065;Cheryl Acevedo;4.75;;;
241651658;John Thompson;4.22;;;
221540656;Justin Patton;4.71;;;
572060603;Eleanor Puentes;4.28;;;
511990305;Traci Walters MD;3.02;;;
232030535;Danny Serasio;4.34;;;
142011877;Donna Ruiz;4.55;;;
222001085;Clarence Simpson;4.19;;;
572210563;Sean Myers;3.38;;;
451500787;Ursula Bryant;4.87;;;
571970248;Lisa Davis;3.44;;;
271410541;Gail Marshall;3.80;;;
521351998;Jeremy Holland;3.99;;;
441670802;Harvey Abe;4.77;;;
582180400;Jessica Holt;3.95;;;
342191262;Jorge Bransom;3.99;;;
431090038;Anthony Harrington;4.60;;;
681581417;Cynthia Seyler;4.11;;;
291461842;Alan Griffin;3.53;;;
301270047;Phyllis Black;3.72;;;
102130157;Danielle Brown;2.99;;;
181500866;Grace Jackson;3.40;;;
632221701;Monica Pham;4.07;;;
261851482;Harlan Behne;3.01;;;
521431094;Jamie Lewis;3.17;;;
341680566;Shirley Bourdeau;3.61;;;
432040755;Shane Chang;3.05;;;
182091591;Fredrick Dryden;4.43;;;
322101538;Tina Riggs;4.22;;;
292131326;Janet Aadland;3.20;;;
642041333;Brenda Moody;4.84;;;
182211465;Floyd Jiles;4.43;;;
352181217;Jennifer Knight;4.22;;;
301511881;Joe Patrick;2.72;;;
631660393;Betty Robinson;4.78;;;
372041489;Laura Pickerel;4.09;;;
442000887;Jennifer Mendoza;4.96;;;
142101030;Corey Rauth;2.99;;;
431001039;Victor Bell;4.30;;;
162080602;Derek Eckart;4.60;;;
312041708;Ronnie Henderson;4.46;;;
141290200;Kelly Shelton;2.74;;;
581401268;Chelsea Johnson;4.76;;;
292180367;Ashleigh Snyder;3.92;;;
372091014;Andrea Salazar;3.17;;;
322120095;Clarence Kinnison;4.77;;;
282191535;Scott Taylor;4.93;;;
272040936;Shawna Rhodes;2.71;;;
351780976;Amanda Bridges;4.38;;;
371601608;Benjamin Walker;2.88;;;
302080499;Angela Hester;2.83;;;
581560957;Lydia Toombs;3.74;;;
322110939;John Brown;3.32;;;
231491638;Keri Couture;3.85;;;
261500762;Jeremy Mckenzie;4.86;;;
371710253;Kathy Rice;3.07;;;
291750322;Travis Wallace;3.43;;;
681400752;Bernard Stocks;3.46;;;
462060985;Joshua Cummings;4.73;;;
271141479;Heather Pagan;4.28;;;
372160516;Kenneth Davis;4.18;;;
241841745;Lawrence Labonte;2.95;;;
291980301;Robert Mendoza;3.26;;;
211010002;David Cole;4.06;;;
462031292;John Mathews;4.84;;;
601071411;Dennis Carl;3.93;;;
112180429;Mr. James Garcia Jr.;4.85;;;
632060236;Amber Crespino;4.80;;;
562041117;Robert Salazar;2.91;;;
351170530;William Diaz;3.68;;;
342121841;Angela Jordan;4.13;;;
462160017;Lori Whitman;3.41;;;
202001507;Jennifer Cox;3.76;;;
441181631;Art Nealey;3.18;;;
351141884;Brittany Miller;3.56;;;
401090600;Jena Keys;3.60;;;
641581151;Alan Green;3.20;;;
521211067;Pamela Jackson;2.79;;;
391410584;Megan Torres;3.72;;;
262091465;John Sowder;4.29;;;
201260824;Bianca Rodriguez;3.26;;;
282041480;Lloyd Dalton;3.54;;;
562091487;John Mckinney;4.14;;;
582051504;Richard Anderson;4.78;;;
312221020;James Melton;4.92;;;
391010862;Katherine Perkins;3.58;;;
331340605;Nathaniel Lambert;3.23;;;
181630333;Joyce Gully;3.99;;;
332071765;Joann Sullivan;2.78;;;
681531900;Norman Williams;3.93;;;
242011544;Charles Mccullough;4.66;;;
332200287;Donald Barnett;3.83;;;
331300553;Caleb Carter;4.39;;;
512060232;Lois Lawing;4.19;;;
631321694;Kevin Gilbert;2.97;;;
442160198;Felix Lewis;3.79;;;
581890876;Russell Pearson;3.27;;;
642091979;Arthur Williamson;2.85;;;
321961082;Brittany Becker;3.50;;;
682130975;John Muth;3.83;;;
632151923;Kyle Hendricks;2.82;;;
631441169;Kerry Rodriguez;3.78;;;
291180111;Michael Lopez;4.06;;;
222011179;Michelle Waller;4.90;;;
432041842;Jermaine Rodriguez;2.84;;;
162020922;Jacob Roche;2.80;;;
262210684;Gary Taylor;4.87;;;
462171390;Aaron Walter;4.73;;;
582180511;Shannon Whitehead;3.08;;;
142001452;Paul Lininger;3.95;;;
242211815;Stephanie Stone;4.98;;;
262120810;Donnie Morris;3.06;;;
371580784;Julia Evans;3.11;;;
522200208;Carla Scott;4.63;;;
102130729;Virginia Brady;2.93;;;
321350994;Darla House;4.36;;;
562170854;Ryan Davidson;4.89;;;
141931122;Sally Lindley;4.60;;;
322061335;Linda Vazquez;3.32;;;
102181301;Peter Kochevar;4.56;;;
451471025;Lisa Weeks;4.64;;;
292091958;Danny Kolbe;4.44;;;
211380625;Maria Smith;3.34;;;
282130692;Mei Renteria;4.27;;;
462160479;Jesus Hutchinson;3.35;;;
102141992;Bess Custer;4.89;;;
311270269;Julia Gutierrez;4.03;;;
101811254;Brian Marano;4.08;;;
261060459;Mandy Mendoza;4.87;;;
201401973;Rima Gomez;2.88;;;
161390583;Heather Horn;3.82;;;
221140212;Royce Schwindt;2.86;;;
232210343;John Nelson;3.80;;;
632080132;Francisco Madero;4.75;;;
191431585;Leslie Rodriguez;2.95;;;
601331868;James Rocha;4.67;;;
112140451;Brian Brown;3.62;;;
192071991;Maria Golden;4.63;;;
511340394;Nicole Anderson;3.02;;;
