codigo;nombre ;carrera;ingreso;promedio;;;;;
1433375;Verónica Cortés;INGENIERIA DE SISTEMAS;1998;3,34;;;;;
2690264;Pablo Vega;DERECHO;1989;2,98;;;;;
2479476;Federico Soria;INGENIERIA DE SISTEMAS;1990;3,41;;;;;
1387643;Simón Soria;INGENIERIA ELECTRICA;1957;3,48;;;;;
1285558;Pedro González;FILOSOFIA;2019;2,95;;;;;
1231432;Paola Núñez;INGENIERIA DE SISTEMAS;1988;3,86;;;;;
1359814;Gabriela Ibarra;MEDICINA;1976;4,05;;;;;
2699015;Clara Ortiz;LICENCIATURA EN MUSICA;2004;2,86;;;;;
1959959;Julián Flores;QUIMICA;1960;4,35;;;;;
2636104;Gabriela Castro;ENFERMERIA;1952;3,92;;;;;
2441391;Fernando Flores;DERECHO;1996;4,16;;;;;
1589232;Laura Ruiz;MATEMATICAS;1964;2,91;;;;;
1999855;Isabella Ibarra;INGENIERIA DE PETROLEOS;1977;4,47;;;;;
2882333;Lorenzo Vega;MATEMATICAS;2009;4,72;;;;;
1271685;Sofía Morales;NUTRICION Y DIETETICA;1997;3,28;;;;;
2254415;Tomás Delgado;QUIMICA;1978;4,96;;;;;
2960092;María Ramos;DERECHO;1978;3,46;;;;;
2308575;Luisa Fernández;INGENIERIA MECANICA;1993;4,8;;;;;
2964293;Ricardo Lara;FISICA;2013;4,19;;;;;
1429010;Paola Vega;FILOSOFIA;1952;3,9;;;;;
1223410;Lucas Navarro;ENFERMERIA;2011;4,43;;;;;
2680618;Andrea Mendoza;LICENCIATURA EN INGLES;1963;3,25;;;;;
1569018;Juliana Suárez;INGENIERIA METALURGICA;2015;4,32;;;;;
1786656;Carolina Carrasco;GEOLOGIA;1963;3,15;;;;;
2347090;Valentina Ortiz;INGENIERIA CIVIL;1970;4,63;;;;;
1622254;Isabella Vargas;FISICA;1980;3,87;;;;;
1422564;Jimena Pérez;INGENIERIA MECANICA;1997;4,99;;;;;
1121177;Natalia Ortiz;INGENIERIA DE SISTEMAS;2001;3,63;;;;;
2819158;Simón Pérez;GEOLOGIA;2014;2,79;;;;;
1914141;Gabriela Gutiérrez;DISEÑO INDUSTRIAL;1961;3,63;;;;;
1115648;Mariana Romero;ECONOMIA;1951;3,05;;;;;
2616987;Natalia Díaz;DISEÑO INDUSTRIAL;2012;4,25;;;;;
1252646;Daniela Mendoza;INGENIERIA MECANICA;1959;4,84;;;;;
2076587;Mauricio Suárez;MEDICINA;2007;4,16;;;;;
2517375;Sofía Sánchez;INGENIERIA METALURGICA;1980;3,03;;;;;
1299674;Ricardo Ramos;MATEMATICAS;2005;3,17;;;;;
2733797;Daniela Acosta;FILOSOFIA;1974;2,81;;;;;
2251948;Raúl Sánchez;FISIOTERAPIA;2006;3,99;;;;;
2170032;Camila Álvarez;TRABAJO SOCIAL;1999;4,74;;;;;
1200003;Gabriela Ramírez;MATEMATICAS;2012;3,48;;;;;
2272915;Roberto Valenzuela;BIOLOGIA;1973;4,48;;;;;
